emp_id,name,department,country,age,salary,join_date,status,email
E10000,Employee_0,Marketing,India,24,112702.89,2024-01-17,On Leave,emp10000@company.com
E10001,Employee_1,Engineering,UK,36,96555.28,2018-11-21,Active,emp10001@company.com
E10002,Employee_2,Engineering,Canada,24,41754.49,2019-07-05,Inactive,emp10002@company.com
E10003,Employee_3,Finance,Germany,32,117824.64,2020-02-18,Inactive,emp10003@company.com
E10004,Employee_4,Finance,USA,52,97000.88,2022-10-15,On Leave,emp10004@company.com
E10005,Employee_5,Sales,India,36,78536.12,2020-12-15,,emp10005@company.com
E10006,Employee_6,Engineering,USA,31,57037.76,2021-01-22,,emp10006@company.com
E10007,Employee_7,Finance,Canada,41,85775.87,2024-08-03,,emp10007@company.com
E10008,Employee_8,Marketing,UK,25,136716.34,2019-12-13,,emp10008@company.com
E10009,Employee_9,Marketing,USA,43,51978.89,2018-05-05,Active,emp10009@company.com
E10010,Employee_10,HR,UK,52,100132.17,2017-07-28,On Leave,emp10010@company.com
E10011,Employee_11,Support,UK,45,56883.53,2017-04-22,Inactive,emp10011@company.com
E10012,Employee_12,HR,Canada,39,,2023-06-20,,emp10012@company.com
E10013,Employee_13,Sales,Australia,60,142268.79,2023-07-13,,emp10013@company.com
E10014,Employee_14,Engineering,UK,24,177776.8,2017-02-11,,emp10014@company.com
E10015,Employee_15,Engineering,USA,55,87723.44,2016-04-20,Active,emp10015@company.com
E10016,Employee_16,Support,Germany,59,52812.12,2022-08-16,,emp10016@company.com
E10017,Employee_17,Sales,USA,37,135348.23,2018-09-12,Active,emp10017@company.com
E10018,Employee_18,Finance,USA,40,160182.13,2023-06-06,On Leave,emp10018@company.com
E10019,Employee_19,Sales,Canada,53,67341.04,2018-07-24,Inactive,emp10019@company.com
E10020,Employee_20,Sales,Canada,22,149566.55,2019-04-23,,emp10020@company.com
E10021,Employee_21,Marketing,UK,43,87872.2,2016-04-16,Inactive,emp10021@company.com
E10022,Employee_22,Sales,UK,60,104523.65,2016-11-04,On Leave,emp10022@company.com
E10023,Employee_23,Support,India,32,127197.12,2021-08-13,Active,emp10023@company.com
E10024,Employee_24,Engineering,Australia,29,,2017-10-27,,emp10024@company.com
E10025,Employee_25,HR,Australia,30,53992.66,2016-09-24,Active,emp10025@company.com
E10026,Employee_26,HR,India,34,,2019-09-08,Inactive,emp10026@company.com
E10027,Employee_27,Marketing,Germany,29,142288.7,2024-09-14,,emp10027@company.com
E10028,Employee_28,Finance,India,54,161556.81,2024-01-25,Inactive,emp10028@company.com
E10029,Employee_29,Sales,India,28,82267.41,2016-09-02,,emp10029@company.com
E10030,Employee_30,Marketing,USA,53,39040.53,2022-06-20,Active,emp10030@company.com
E10031,Employee_31,Finance,Canada,38,112326.39,2023-04-23,,emp10031@company.com
E10032,Employee_32,Marketing,Canada,33,54884.49,2021-08-11,Active,emp10032@company.com
E10033,Employee_33,Sales,UK,40,165068.83,2020-03-09,Inactive,emp10033@company.com
E10034,Employee_34,HR,India,27,105652.81,2017-12-14,Inactive,emp10034@company.com
E10035,Employee_35,HR,Germany,43,139711.87,2020-09-15,Active,emp10035@company.com
E10036,Employee_36,Engineering,UK,60,174312.33,2018-02-03,Active,emp10036@company.com
E10037,Employee_37,Engineering,India,29,158190.23,2021-03-18,On Leave,emp10037@company.com
E10038,Employee_38,Finance,UK,26,150940.2,2021-02-09,Inactive,emp10038@company.com
E10039,Employee_39,Support,USA,26,67249.16,2016-08-01,On Leave,emp10039@company.com
E10040,Employee_40,Finance,UK,38,41264.83,2016-03-09,Inactive,emp10040@company.com
E10041,Employee_41,Sales,Germany,54,77044.32,2019-06-26,Inactive,
E10042,Employee_42,Marketing,USA,,70623.53,2016-11-27,,emp10042@company.com
E10043,Employee_43,Support,UK,46,79628.54,2018-06-07,Inactive,emp10043@company.com
E10044,Employee_44,Support,Australia,46,177372.88,2015-02-21,Inactive,emp10044@company.com
E10045,Employee_45,Marketing,UK,26,90227.86,2024-04-23,On Leave,emp10045@company.com
E10046,Employee_46,HR,India,49,,2020-09-11,On Leave,emp10046@company.com
E10047,Employee_47,Marketing,India,21,47164.13,2023-11-07,On Leave,emp10047@company.com
E10048,Employee_48,Engineering,USA,26,120086.11,2015-05-10,,emp10048@company.com
E10049,Employee_49,Engineering,Canada,30,138819.05,2020-12-16,,emp10049@company.com
E10050,Employee_50,Support,Canada,23,138676.59,2023-03-17,,emp10050@company.com
E10051,Employee_51,Finance,USA,58,138121.99,2016-01-02,Inactive,emp10051@company.com
E10052,Employee_52,Marketing,USA,49,126026.23,2022-05-01,Inactive,emp10052@company.com
E10053,Employee_53,Engineering,Australia,55,111268.57,2019-02-28,,emp10053@company.com
E10054,Employee_54,Support,India,50,90471.27,2019-01-20,,emp10054@company.com
E10055,Employee_55,Sales,USA,42,142766.5,2024-10-05,On Leave,
E10056,Employee_56,Engineering,UK,27,132977.61,2023-05-15,On Leave,emp10056@company.com
E10057,Employee_57,Engineering,Canada,26,37538.15,2016-09-15,,emp10057@company.com
E10058,Employee_58,HR,India,34,48093.95,2020-03-20,On Leave,emp10058@company.com
E10059,Employee_59,Finance,Germany,44,165167.33,2021-01-06,,
E10060,Employee_60,HR,Australia,40,95346.27,2020-02-27,,emp10060@company.com
E10061,Employee_61,Marketing,Germany,28,63382.46,2019-05-12,Active,emp10061@company.com
E10062,Employee_62,HR,Canada,48,158867.01,2016-01-27,On Leave,emp10062@company.com
E10063,Employee_63,Support,India,38,80762.2,2021-01-26,On Leave,emp10063@company.com
E10064,Employee_64,HR,Canada,26,,2022-10-25,,emp10064@company.com
E10065,Employee_65,Marketing,UK,56,103466.69,2019-05-09,On Leave,emp10065@company.com
E10066,Employee_66,Support,Germany,36,115811.65,2016-03-21,,emp10066@company.com
E10067,Employee_67,Sales,Canada,52,100682.98,2022-07-05,On Leave,emp10067@company.com
E10068,Employee_68,Sales,USA,56,69673.35,2024-04-01,On Leave,emp10068@company.com
E10069,Employee_69,HR,UK,54,74184.78,2022-05-19,Active,emp10069@company.com
E10070,Employee_70,Sales,Australia,34,165034.57,2021-11-15,,emp10070@company.com
E10071,Employee_71,Marketing,USA,48,164876.0,2024-08-01,,emp10071@company.com
E10072,Employee_72,Finance,UK,36,67451.06,2023-11-04,Inactive,emp10072@company.com
E10073,Employee_73,Support,Australia,50,147644.93,2017-04-19,Active,emp10073@company.com
E10074,Employee_74,Support,Australia,29,111596.71,2016-02-03,,emp10074@company.com
E10075,Employee_75,Finance,India,35,35167.04,2022-05-11,On Leave,emp10075@company.com
E10076,Employee_76,Sales,UK,56,174289.06,2015-01-07,On Leave,emp10076@company.com
E10077,Employee_77,Support,Australia,37,96526.75,2018-08-02,On Leave,emp10077@company.com
E10078,Employee_78,Support,UK,46,150574.31,2018-08-07,Active,emp10078@company.com
E10079,Employee_79,Sales,India,37,77765.26,2024-03-08,,emp10079@company.com
E10080,Employee_80,Support,USA,30,42881.97,2024-03-14,Active,emp10080@company.com
E10081,Employee_81,Engineering,India,41,179641.82,2020-04-06,Inactive,emp10081@company.com
E10082,Employee_82,Finance,Australia,40,89899.82,2020-08-06,On Leave,emp10082@company.com
E10083,Employee_83,Engineering,Germany,47,52937.7,2021-06-25,Inactive,emp10083@company.com
E10084,Employee_84,HR,USA,51,113521.71,2018-06-12,,emp10084@company.com
E10085,Employee_85,HR,USA,36,146166.86,2021-01-15,Active,emp10085@company.com
E10086,Employee_86,Engineering,Germany,25,84165.08,2020-10-02,On Leave,emp10086@company.com
