order_id,product,category,price,quantity,customer,order_date,total_amount
1001,Widget A,Hardware,12.5,4.0,John,2024-01-05,50.0
1002,Widget B,Hardware,9.99,2.0,Mary,2024-01-06,19.98
1003,Gadget X,Electronics,45.0,1.0,Steve,2024-01-06,45.0
1005,Gadget Y,Electronics,45.0,3.0,Anita,2024-01-07,135.0
1006,Tool Z,Hardware,22.0,1.0,Brian,2024-01-08,22.0
1007,Gadget X,Electronics,45.0,2.0,Cathy,2024-01-09,90.0
1008,Widget C,Hardware,15.75,1.0,Derek,2024-01-09,15.75
1009,Gadget Y,Electronics,60.0,1.0,Elena,2024-01-10,60.0
1011,Widget B,Hardware,9.99,5.0,Farah,2024-01-11,49.95
1012,Gadget Z,Electronics,45.0,2.0,George,2024-01-12,90.0
